# return, risk, Sharpe
8.785465192797527840e-04,9.246029996070026166e-03,9.501878315916929829e-02
5.836299448899158818e-04,1.066757666703598353e-02,5.471063983007484061e-02
5.744685813561364787e-04,1.708810943982315769e-02,3.361803032565793131e-02
4.943473715197509600e-04,1.016069886452311728e-02,4.865289072248798335e-02
5.515310075995616748e-04,1.305512415481879275e-02,4.224632420642168706e-02
