# return, risk, Sharpe
5.745452137025663670e-04,1.406151367455765050e-02,4.085941435608926586e-02
1.386791127738006110e-04,1.143268919778263511e-02,1.213005185172858283e-02
2.319665604054153591e-04,1.486531173871631986e-02,1.560455404384587796e-02
3.388864957681304814e-04,1.408182417455865372e-02,2.406552528758240314e-02
