# return, risk, Sharpe
4.913518630664694825e-02,5.728209098484882134e-02,8.577757107303094486e-01
4.568423833893953817e-02,5.141830382408447281e-02,8.884820179062561385e-01
4.806093746457811011e-02,3.751267145107068518e-02,1.281192077382864003e+00
4.206739761026717650e-02,4.807982933040118312e-02,8.749489795644447288e-01
