# return, risk, Sharpe
2.541417509007852277e-04,1.053596664976067486e-02,2.412135111556736738e-02
7.375161803396678047e-04,2.116751705301556097e-02,3.484188431229349320e-02
5.495129738954243137e-04,1.038399666902712314e-02,5.291921708088415804e-02
4.513263010387540868e-04,1.677737202609531214e-02,2.690089367612322549e-02
