risks_test,      returns_test,         risks_train,     returns_train
0.0335931375603, 0.027705159110457577, 0.0308999194845, 0.005449564491704547
0.0343946203268, 0.02844515172112385,  0.0318905221538, 0.005730875489046024
0.0356559560468, 0.029351147545569202, 0.0332944428222, 0.0060724858732676855
0.0372745043911, 0.030067540716831723, 0.0350974181973, 0.006454431730856161
0.0389238807283, 0.029953598401238568, 0.0371673223451, 0.0068349419509316145
0.0414157342623, 0.029804909629343124, 0.0400071213668, 0.007295049002909413
0.0450405966495, 0.02961879946293126,  0.043841141784,  0.007851981976496634
0.0501256128551, 0.029389226853905874, 0.0489263836349, 0.00852638202851962
0.0570314663881, 0.02911716488563483,  0.0555554740264, 0.0093439393147804
0.0661358795681, 0.028785672349044958, 0.0640537721611, 0.010334192566368378
0.077866428822,  0.0283851505112949,   0.0747997303636, 0.011534100831754535
0.0921006945801, 0.02796026839860763,  0.087875274962,  0.012948843388263737
0.107074919604,  0.02775469329000279,  0.102460065074,  0.014469642125056862
0.12603342499,   0.027506218292718917, 0.120714440193,  0.01631177431924013
0.149743495765,  0.027205229788382912, 0.143358337434,  0.018543548805455137
0.163355431998,  0.027035411938692296, 0.156301401806,  0.019802734800015008
0.163355860263,  0.027035406818189698, 0.156301801424,  0.019802774193616434
0.163355342862,  0.027035393823671462, 0.156301335832,  0.019802725770670247
0.163355669095,  0.027035400934406466, 0.156301630094,  0.01980275625388954
0.163355795452,  0.027035404889653905, 0.156301743368,  0.01980276811497144
0.163355854351,  0.02703540673126035,  0.156301796136,  0.019802773643593296
0.163355868315,  0.027035406651097233, 0.156301808865,  0.019802774930377517
0.163355874549,  0.027035406576229423, 0.156301814574,  0.019802775503142585
0.163355875856,  0.027035406473707328, 0.156301815819,  0.019802775619278967
0.163355877181,  0.0270354065249865,   0.156301817013,  0.01980277574419211
0.163355878223,  0.027035406616402285, 0.156301817931,  0.019802775844780622
0.163355878915,  0.02703540669648507,  0.156301818531,  0.01980277591238716
0.163355879343,  0.027035406756969103, 0.156301818898,  0.019802775954822976
0.163355879637,  0.02703540680606565,  0.156301819148,  0.01980277598430334
0.163355879879,  0.02703540684923236,  0.156301819352,  0.019802776008638234
0.163355880089,  0.027035406884833062, 0.156301819529,  0.019802776029732464
0.163355880262,  0.02703540690960489,  0.156301819677,  0.019802776046871518
0.163355852363,  0.02703540475564477,  0.156301795229,  0.01980277336884517
0.163355861459,  0.027035405554560757, 0.156301803168,  0.019802774246477764
0.163355868205,  0.02703540608507034,  0.156301809076,  0.019802774894452785
0.16335587281,   0.0270354064211883,   0.156301813119,  0.019802775335623825
0.163355875737,  0.027035406623756777, 0.156301815691,  0.01980277561549713
0.163355877522,  0.027035406742099748, 0.156301817261,  0.019802775785860458
0.163355878603,  0.02703540681118708,  0.156301818214,  0.019802775888980256
0.163355753736,  0.027035400293230254, 0.156301707774,  0.01980276404949265
0.163355796248,  0.027035402808042324, 0.156301745277,  0.019802768094235205
0.163355823913,  0.02703540436832869,  0.156301769707,  0.01980277072275662
0.163355842168,  0.027035405341534084, 0.156301785845,  0.0198027724545622
0.163355854296,  0.02703540594758601,  0.156301796581,  0.019802773603285185
0.163355861833,  0.0270354063484932,   0.156301803244,  0.01980277431820089
0.163355866326,  0.027035407060271303, 0.156301807057,  0.019802774766576273
0.163355872223,  0.027035407745028515, 0.156301812146,  0.01980277534336508
0.16335587554,   0.027035407966208885, 0.156301815064,  0.019802775660126688
0.16335587281,   0.027035407313880964, 0.15630181282,   0.019802775377354514
0.163355873715,  0.027035407571187293, 0.15630181355,   0.019802775473061644
0.163355875593,  0.02703540797793058,  0.156301815107,  0.019802775665555047
0.163355878867,  0.027035408586194083, 0.156301817855,  0.019802775996453335
0.163355880573,  0.02703540694383439,  0.156301819946,  0.019802776077178213
0.163355880644,  0.027035406955236506, 0.156301820006,  0.01980277608428569
0.16335588074,   0.027035406969943342, 0.156301820088,  0.019802776093802033
0.163355880864,  0.02703540698848962,  0.156301820193,  0.019802776106137
0.163355881022,  0.027035407011533296, 0.156301820328,  0.019802776121780233
0.163355881219,  0.027035407039984218, 0.156301820497,  0.01980277614136898
0.163355881464,  0.02703540707487741,  0.156301820706,  0.019802776165624796
0.163355881765,  0.02703540711742353,  0.156301820963,  0.019802776195373403

