# return, risk, Sharpe
2.210737487955274361e-01,1.191284739281307653e-01,1.855759093572368013e+00
1.971484250233671853e-01,9.415603593204914523e-02,2.093847973438962118e+00
2.074941457791507626e-01,9.688388027500066668e-02,2.141678731179920359e+00
2.213397775245586341e-01,1.149729940071690937e-01,1.925145808682316106e+00
