# return, risk, Sharpe
6.404991540473574385e-04,2.195223533271586924e-02,2.917694459537832630e-02
6.917262097342394538e-04,1.992617987115975070e-02,3.471444171471183698e-02
6.190595415223054416e-04,1.691501920730635253e-02,3.659821688259780326e-02
7.906497258831071337e-04,1.795100991156728040e-02,4.404486041610549546e-02
