0; 10; 100; 1000; 10000; 100000
1.38698641e-09; 3.38901875e-07; 2.82326153e-06; 2.98154347e-05; 5.77494859e-04; 2.59840141e-04
2.31248745e-09; 5.62562387e-07; 4.72881816e-06; 5.23391750e-05; 9.49050799e-04; 4.27048846e-04
3.69442623e-09; 8.95074598e-07; 7.52440965e-06; 8.32178676e-05; 1.49576853e-03; 6.73658645e-04
5.58221031e-09; 1.34310823e-06; 1.12414719e-05; 1.25557891e-04; 2.21205707e-03; 9.91805126e-04
1.01506801e-08; 2.39763153e-06; 1.98003972e-05; 2.32712885e-04; 3.91023137e-03; 1.67768909e-03
1.67749232e-08; 4.03821161e-06; 3.23499529e-05; 4.22053167e-04; 6.24849688e-03; 2.59734638e-03
1.76306497e-08; 4.17085759e-06; 3.35933118e-05; 4.18255008e-04; 6.23673536e-03; 2.62567190e-03
3.32323218e-08; 9.40126364e-06; 6.91880214e-05; 1.13310074e-03; 1.20925010e-02; 5.12300255e-03
4.82229819e-07; 2.41429687e-05; 4.09730193e-04; 5.02902899e-03; 1.84729304e-02; 9.39142509e-03
0.02897138; 0.02900798; 0.02853606; 0.02663232; 0.0282174; 0.02106619
0.04495974; 0.04487154; 0.04521159; 0.04094573; 0.03361101; 0.02917031
0.09384539; 0.09382925; 0.09308883; 0.09394868; 0.06461092; 0.09174464
0.32875779; 0.32876906; 0.32894333; 0.3248299; 0.27787909; 0.32006652
0.50346514; 0.50347489; 0.50362921; 0.50611728; 0.54348632; 0.51418486
