Date,Open,High,Low,Close,Adj Close,Volume
2011-11-01,null,null,null,null,null,null
2011-12-01,80.739998,82.629997,71.180000,76.330002,72.921402,61612700
2012-01-01,78.360001,82.470001,77.599998,80.720001,77.201958,69672500
2012-02-01,81.370003,88.699997,80.419998,84.120003,80.453773,80648900
2012-03-01,84.779999,87.370003,75.900002,78.339996,74.925682,94141500
2012-04-01,78.250000,79.849998,69.779999,73.209999,70.093246,72516900
2012-05-01,74.050003,76.019997,59.560001,61.000000,58.403065,105036900
2012-06-01,58.930000,66.220001,56.419998,66.199997,63.381687,120153200
2012-07-01,66.180000,74.129997,64.190002,69.440002,66.577621,117278500
2012-08-01,69.910004,71.089996,65.379997,69.269997,66.414650,81652000
2012-09-01,69.320000,76.629997,68.169998,69.919998,67.037827,72330300
2012-10-01,70.550003,72.519997,65.820000,68.809998,66.055832,63446900
2012-11-01,68.720001,74.669998,68.559998,73.190002,70.260529,73545000
2012-12-01,73.949997,76.949997,71.769997,74.309998,71.335686,59187500
2013-01-01,75.750000,81.879997,74.730003,80.019997,76.907837,69018900
2013-02-01,80.800003,84.830002,77.010002,79.580002,76.484940,63460000
2013-03-01,78.870003,89.199997,78.290001,87.449997,84.048874,67590700
2013-04-01,87.160004,87.949997,78.300003,84.760002,81.551811,74960700
2013-05-01,84.169998,92.180000,82.519997,87.470001,84.159233,72161500
2013-06-01,87.849998,89.089996,80.440002,85.930000,82.677513,56756600
2013-07-01,86.330002,92.900002,86.080002,88.519997,85.256706,64725200
2013-08-01,89.470001,93.139999,87.570000,91.419998,88.049789,59829700
2013-09-01,92.430000,96.750000,91.699997,92.989998,89.561920,49039400
2013-10-01,92.889999,98.470001,91.269997,95.290001,91.955086,62767900
2013-11-01,95.440002,96.540001,87.660004,88.820000,85.711517,61859800
2013-12-01,88.919998,89.699997,73.599998,79.320000,76.543991,129986800
2014-01-01,79.029999,83.970001,77.800003,80.690002,78.028152,96863500
2014-02-01,80.730003,85.209999,78.150002,84.160004,81.383675,80185200
2014-03-01,83.919998,86.860001,81.419998,84.760002,81.963882,82547500
2014-04-01,84.879997,103.500000,84.540001,99.019997,95.956032,159096900
2014-05-01,99.150002,104.839996,97.629997,102.860001,99.677223,74948600
2014-06-01,103.230003,112.059998,100.480003,109.470001,106.082695,70806100
2014-07-01,110.720001,113.000000,104.449997,106.849998,103.817680,91255400
2014-08-01,105.870003,113.510002,104.500000,112.690002,109.491943,74505500
2014-09-01,112.080002,112.989998,100.400002,101.440002,98.561226,79209500
2014-10-01,101.440002,102.680000,80.980003,91.779999,89.395042,183691000
2014-11-01,92.529999,95.940002,78.660004,79.150002,77.093239,104207200
2014-12-01,78.760002,85.209999,71.000000,82.500000,80.356186,158177800
2015-01-01,80.970001,84.139999,73.820000,81.750000,79.898506,114788200
2015-02-01,83.010002,90.099998,80.760002,84.230003,82.322342,99739900
2015-03-01,84.230003,84.230003,77.000000,82.809998,80.934502,89831000
2015-04-01,83.760002,95.940002,82.919998,94.099998,92.273628,90694600
2015-05-01,93.930000,95.750000,82.830002,83.610001,81.987244,84362600
2015-06-01,83.959999,85.430000,77.750000,78.059998,76.544952,66166200
2015-07-01,78.260002,78.699997,69.400002,74.349998,73.140678,99717800
2015-08-01,73.610001,78.589996,58.099998,69.010002,67.887550,127786800
2015-09-01,69.639999,71.320000,58.290001,60.389999,59.407753,89420400
2015-10-01,61.340000,73.870003,59.750000,66.879997,66.048744,107794900
2015-11-01,65.839996,72.239998,57.860001,59.900002,59.155499,126199100
2015-12-01,60.090000,61.189999,44.500000,48.580002,47.976196,173565500
2016-01-01,48.509998,50.000000,28.160000,39.090000,38.788498,233507200
2016-02-01,38.540001,44.060001,33.849998,37.950001,37.657291,204455900
2016-03-01,39.160000,50.389999,37.650002,46.570000,46.210804,176920700
2016-04-01,45.070000,55.459999,43.520000,52.759998,52.410961,115113700
2016-05-01,52.619999,53.000000,44.810001,51.860001,51.516918,112290700
2016-06-01,51.860001,57.000000,48.669998,53.250000,52.897717,97107200
2016-07-01,53.790001,58.040001,52.320000,54.529999,54.221951,86913600
2016-08-01,53.880001,57.180000,50.230000,53.470001,53.167946,92444900
2016-09-01,53.119999,63.840000,52.599998,63.360001,63.002071,168309600
2016-10-01,63.180000,65.080002,59.349998,59.439999,59.155415,92425600
2016-11-01,60.150002,69.480003,58.590000,69.150002,68.818932,111983600
2016-12-01,70.769997,73.330002,66.510002,70.470001,70.132614,94104400
2017-01-01,70.559998,72.320000,67.370003,69.529999,69.246239,73229100
2017-02-01,70.269997,71.250000,64.000000,64.650002,64.386162,82840000
2017-03-01,65.489998,66.660004,59.340000,62.000000,61.746975,102413700
2017-04-01,61.900002,64.150002,55.570000,57.020000,56.832253,75843100
2017-05-01,56.930000,57.439999,50.000000,50.529999,50.363621,142819400
2017-06-01,50.730000,51.500000,43.450001,45.340000,45.190716,121657800
2017-07-01,45.500000,47.950001,42.580002,45.669998,45.567108,105824800
2017-08-01,45.599998,45.730000,39.959999,40.930000,40.837791,102614800
2017-09-01,40.990002,50.160000,40.410000,48.849998,48.739944,100260300
2017-10-01,47.880001,50.099998,46.750000,49.369999,49.318890,123802000
2017-11-01,49.639999,52.169998,47.009998,48.090000,48.040218,126258600
2017-12-01,48.599998,54.450001,46.799999,53.639999,53.584469,109206300
