Date,Open,High,Low,Close,Adj Close,Volume
2012-12-01,null,null,null,null,null,null
2013-01-01,21.150000,23.059999,20.879999,21.040001,17.922844,1220335600
2013-02-01,21.190001,21.379999,20.100000,20.879999,17.786551,702460600
2013-03-01,20.790001,22.040001,20.660000,21.840000,18.804272,755792900
2013-04-01,21.670000,24.000000,20.750000,23.950001,20.620981,1251872500
2013-05-01,23.820000,24.709999,23.580000,24.280001,20.905115,740062700
2013-06-01,24.879999,25.980000,23.410000,24.230000,21.058592,870588100
2013-07-01,24.350000,24.430000,22.629999,23.340000,20.285074,1016381600
2013-08-01,23.410000,23.490000,21.889999,21.980000,19.103085,648993400
2013-09-01,22.209999,24.090000,21.969999,22.920000,20.114967,645551600
2013-10-01,22.940001,24.730000,22.480000,24.469999,21.475269,797993300
2013-11-01,24.510000,25.290001,23.500000,23.840000,20.922375,591599400
2013-12-01,24.000000,26.040001,23.400000,25.959999,22.996199,614535900
2014-01-01,25.780001,27.120001,24.400000,24.540001,21.738316,834053300
2014-02-01,24.500000,24.980000,23.500000,24.760000,21.933197,510845400
2014-03-01,24.549999,26.059999,24.299999,25.809999,23.081345,587134100
2014-04-01,25.799999,27.240000,25.639999,26.690001,23.868313,735615600
2014-05-01,26.510000,27.320000,25.740000,27.320000,24.431709,491940100
2014-06-01,27.309999,31.000000,27.120001,30.900000,27.870668,761349300
2014-07-01,30.990000,34.830002,30.440001,33.889999,30.567547,835570200
2014-08-01,33.750000,35.200001,32.389999,34.919998,31.496561,593322200
2014-09-01,34.759998,35.560001,33.630001,34.820000,31.615276,558097600
2014-10-01,34.610001,34.779999,29.650000,34.009998,30.879829,894696800
2014-11-01,33.810001,37.689999,33.000000,37.250000,33.821632,562628200
2014-12-01,37.209999,37.900002,35.330002,36.290001,33.166039,600051700
2015-01-01,36.669998,37.490002,33.000000,33.040001,30.195805,689011900
2015-02-01,33.060001,34.750000,32.610001,33.250000,30.387728,456084000
2015-03-01,33.290001,34.500000,29.309999,31.270000,28.783159,908832500
2015-04-01,31.129999,33.040001,30.450001,32.549999,29.961359,565542000
2015-05-01,32.630001,34.750000,31.930000,34.459999,31.719460,498240700
2015-06-01,34.369999,34.590000,30.150000,30.420000,28.203234,701674000
2015-07-01,30.490000,30.920000,27.620001,28.950001,26.840355,829691000
2015-08-01,29.000000,29.680000,24.870001,28.540001,26.460232,705852500
2015-09-01,27.910000,30.320000,27.660000,30.139999,28.175774,679595200
2015-10-01,30.209999,35.029999,29.459999,33.860001,31.653345,703082200
2015-11-01,33.730000,35.290001,31.930000,34.770000,32.504036,459844100
2015-12-01,35.000000,35.590000,33.820000,34.450001,32.431751,427101000
2016-01-01,33.880001,34.009998,29.209999,31.020000,29.202702,615261600
2016-02-01,30.719999,31.120001,27.680000,29.590000,27.856474,525908300
2016-03-01,29.930000,32.750000,29.750000,32.349998,30.722830,471657000
2016-04-01,32.270000,32.470001,30.100000,30.280001,28.756952,515341600
2016-05-01,30.450001,31.650000,29.500000,31.590000,30.001059,431365600
2016-06-01,31.620001,33.000000,30.440001,32.799999,31.419270,484666300
2016-07-01,32.639999,35.930000,32.380001,34.860001,33.392551,529577000
2016-08-01,34.820000,35.900002,33.990002,35.889999,34.379192,389327300
2016-09-01,35.990002,38.049999,35.060001,37.750000,36.435001,505382300
2016-10-01,37.689999,38.360001,34.709999,34.869999,33.655319,466446700
2016-11-01,34.900002,35.660000,33.419998,34.700001,33.491241,412344200
2016-12-01,34.860001,37.349998,33.560001,36.270000,35.271603,405486600
2017-01-01,36.610001,38.450001,36.189999,36.820000,35.806461,456290900
2017-02-01,36.820000,36.950001,34.840000,36.200001,35.203533,477541600
2017-03-01,35.849998,36.299999,34.660000,36.070000,35.327518,546151800
2017-04-01,36.189999,37.500000,35.209999,36.150002,35.405876,443970000
2017-05-01,36.110001,37.169998,35.020000,36.110001,35.366699,432927300
2017-06-01,36.119999,36.570000,33.340000,33.740002,33.291321,499084800
2017-07-01,33.509998,35.860001,33.230000,35.470001,34.998314,440860400
2017-08-01,35.660000,36.700001,34.380001,35.070000,34.603630,496928000
2017-09-01,35.240002,38.150002,34.930000,38.080002,37.855663,431948900
2017-10-01,38.119999,45.799999,38.080002,45.490002,45.222008,633392500
2017-11-01,45.970001,47.299999,43.770000,44.840000,44.575836,579910400
2017-12-01,44.730000,47.639999,42.669998,46.160000,46.160000,559756900
